Scenario	Replication	[CycleTime].SampleAverage/1[min]		[LastPatientMonday].SampleAverage		Overtime		[LastPatientTuesday].SampleAverage				[LastPatientWednesday].SampleAverage				[LastPatientThursday].SampleAverage				[LastPatientFriday].SampleAverage				[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[Orderly4].WorkingTime/[Orderly4].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayTech4].WorkingTime/[X-RayTech4].TotalTime		[X-RayTech5].WorkingTime/[X-RayTech5].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[X-RayRoom3].WorkingTime/[X-RayRoom3].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	1	92.02819017		811.8403074		91.84030743		2285.82754		125.8275403		3788.078854		188.0788543		5171.040233		131.040233		6596.319653		116.3196528		0.517378857		0.441190309		0.562992673		0.239809759		0.535205804		0.565753429		0.573886024		0.559657682		0.558856063		0.488654924		0.472317654		0.487577093		0.48469263		0.486086954		0.504179276		0.505151182		0.508520043		3.875		3.916666667		4.354166667		3.916666667		3.895833333		3.875		3.916666667		4.354166667		3.916666667		3.895833333		4.848677626		0.074525577		0.908259622		0.064726847		1.691515868		7.522978694		56.56510544		953	
1	2	93.73651647		776.7259031		56.72590315		2222.676353		62.67635267		3663.982817		63.9828172		5118.138987		78.13898672		6639.815937		159.815937		0.484335217		0.417046985		0.529974828		0.232063155		0.505957553		0.55158247		0.530769256		0.531435466		0.545923725		0.471944811		0.47051664		0.474199839		0.459602616		0.471245675		0.496814214		0.491808086		0.493986878		3.604166667		3.666666667		3.8125		3.604166667		4.229166667		3.604166667		3.666666667		3.8125		3.604166667		4.229166667		4.3989732		0.089227884		1.10581785		0.073568759		1.671091027		7.265109962		57.48497757		903	
1	3	90.97882489		762.4027365		42.4027365		2273.368326		113.3683255		3766.22694		166.2269402		5097.364347		57.36434653		6576.094326		96.09432642		0.501548571		0.426510148		0.533791364		0.22879403		0.51903664		0.553775797		0.541584409		0.531727526		0.53674226		0.462400791		0.4680018		0.465512467		0.4657122		0.469037391		0.488548758		0.493226814		0.488950732		3.5625		3.895833333		4.270833333		3.645833333		3.75		3.5625		3.895833333		4.270833333		3.645833333		3.75		4.138963638		0.072775872		0.858663825		0.072472517		1.983475173		7.053878507		55.40307181		913	
1	4	89.28389785		893.5482099		173.5482099		2253.610029		93.61002853		3694.604671		94.6046705		5224.448528		184.4485281		6549.447233		69.44723253		0.494720824		0.422675635		0.536909985		0.226113368		0.517948712		0.545489899		0.561021417		0.528532849		0.520794896		0.464719339		0.465811482		0.460979201		0.457692733		0.467489272		0.489084992		0.484404155		0.484686179		3.4375		4		3.770833333		4.3125		3.75		3.4375		4		3.770833333		4.3125		3.75		4.37896735		0.073039259		0.763522602		0.067364814		1.736605584		6.952134796		54.22389441		920	
1	5	99.83973054		784.8106529		64.8106529		2387.165185		227.1651852		3716.533037		116.5330368		5088.095698		48.09569838		6581.564863		101.5648629		0.509218819		0.417916838		0.547756306		0.232573385		0.515814507		0.548504277		0.548219483		0.531393178		0.51442186		0.454808043		0.45994925		0.466022599		0.451422118		0.451289993		0.477878898		0.473244459		0.479072894		3.479166667		4.520833333		3.875		3.25		3.833333333		3.479166667		4.520833333		3.875		3.25		3.833333333		5.525007208		0.055048379		0.489213127		0.053864076		2.078110179		8.147378893		64.80212202		905	
1	6	77.28690665		863.1431425		143.1431425		2240.254555		80.25455453		3656.052389		56.0523894		5094.783155		54.78315482		6529.623826		49.62382568		0.482553644		0.398151566		0.522107768		0.213316908		0.494425537		0.523981028		0.515010944		0.504605942		0.481795847		0.438086371		0.444086686		0.436189561		0.43013934		0.433469804		0.458798034		0.460982918		0.462072056		4.166666667		3.5		3.5625		3.354166667		3.291666667		4.166666667		3.5		3.5625		3.354166667		3.291666667		2.750530467		0.052980041		0.468526968		0.051604355		1.699140522		4.971177998		41.91917786		853	
1	7	77.0523102		830.1528074		110.1528074		2251.754457		91.75445688		3688.14308		88.1430797		5108.782151		68.78215057		6576.841621		96.84162133		0.492254816		0.409347762		0.5319599		0.219898359		0.512038104		0.52882039		0.538708642		0.536924254		0.509092541		0.441770138		0.446923282		0.446696468		0.441374801		0.441330557		0.46608938		0.460952511		0.461152177		3.9375		3.75		3.583333333		3.541666667		3.8125		3.9375		3.75		3.583333333		3.541666667		3.8125		3.194038934		0.05803613		0.419481241		0.05173461		1.534775712		5.206332018		42.20957231		889	
1	8	88.52478587		834.9053338		114.9053338		2305.402507		145.402507		3681.28744		81.28744003		5084.542153		44.5421528		6653.659852		173.6598519		0.506599261		0.424967473		0.55299841		0.233624475		0.51999261		0.553654774		0.548082707		0.533022003		0.523366587		0.467003321		0.469860571		0.459113742		0.46364905		0.466125209		0.486788139		0.49204383		0.486768801		3.666666667		4.104166667		3.770833333		3.270833333		4.208333333		3.666666667		4.104166667		3.770833333		3.270833333		4.208333333		3.939490433		0.072439096		0.63228615		0.058886444		2.056342908		6.700558587		53.04075726		908	
1	9	76.88069612		788.7835946		68.7835946		2223.607952		63.60795155		3686.203294		86.20329417		5102.014229		62.01422873		6605.521169		125.5211691		0.480613917		0.40216561		0.523202531		0.208377513		0.492289575		0.531132448		0.518474356		0.513025708		0.491926691		0.42589935		0.438523826		0.422143569		0.426976117		0.42824023		0.440501114		0.450711532		0.446233427		3.520833333		3.791666667		3.5		3.4375		3.791666667		3.520833333		3.791666667		3.5		3.4375		3.791666667		2.761478225		0.044601895		0.414247742		0.047052304		1.805808699		5.026136562		42.09592481		861	
1	10	84.78558402		781.1241516		61.12415165		2214.015893		54.01589308		3720.835908		120.8359084		5182.896839		142.8968388		6605.668914		125.6689144		0.497093749		0.407508069		0.540374684		0.226385722		0.514058728		0.547305367		0.529153253		0.527307983		0.507296831		0.4406261		0.445265072		0.446117468		0.447334124		0.441926041		0.46702285		0.465539164		0.459142233		3.291666667		3.354166667		3.833333333		3.9375		4.020833333		3.291666667		3.354166667		3.833333333		3.9375		4.020833333		3.606821251		0.05273278		0.483222242		0.05144399		1.920347582		6.063123855		49.55404126		880	
1	11	93.3812858		779.5431024		59.54310238		2312.266906		152.2669062		3688.794084		88.79408438		5188.843732		148.8437323		6625.728155		145.7281548		0.513229013		0.431616973		0.55826602		0.244194184		0.532152453		0.567610897		0.561806717		0.553295992		0.555987512		0.474464001		0.477300638		0.4709766		0.478161471		0.473981759		0.494388256		0.492066784		0.492961157		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		5.38276249		0.067259106		0.620684369		0.056464111		1.588661478		7.659367443		58.30252849		945	
1	12	86.61049992		782.8657954		62.86579543		2261.093481		101.093481		3661.32928		61.32927955		5157.820497		117.8204975		6641.983514		161.9835139		0.494457816		0.415116125		0.544586397		0.227140194		0.511591935		0.536004009		0.540545111		0.527940418		0.513940063		0.459532867		0.462531937		0.46067385		0.469904702		0.464640433		0.494675336		0.49324751		0.493362643		3.75		3.583333333		3.354166667		3.854166667		4.020833333		3.75		3.583333333		3.354166667		3.854166667		4.020833333		3.544780813		0.070414948		0.863218662		0.067552812		1.76599617		6.244410594		50.39136153		886	
