Scenario	Replication	([CycleTime].SampleAverage)/1[min]		[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[DevelopX-Ray].WorkingTime/[DevelopX-Ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[DRTech1].WorkingTime/[DRTech1].TotalTime		[DRTech2].WorkingTime/[DRTech2].TotalTime		[DarkRoom1].WorkingTime/[DarkRoom1].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[WaitingDevelop].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[WaitingDevelop].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	1	1003.753372		0.690764117		0.590584316		0.863678242		0.996223938		0.161639455		0.456933609		0.903816856		0.83864598		0.793864854		0.794091187		0.779054481		0.799796147		0.799827903		0.793544035		0.577901911		0.579961482		0.996223938		3.875		3.916666667		4.354166667		3.916666667		3.895833333		1.625		1.979166667		1.8125		1.9375		1.666666667		28.61059517		0.244613449		2.034973777		273.3592892		0.083859884		0.06108135		304.310553		1982.556744		428	
1	2	1058.85363		0.640008303		0.558424042		0.834077558		0.996196239		0.164049251		0.500397103		0.89550255		0.816634034		0.752524911		0.760466156		0.75903813		0.751790339		0.755275239		0.761713269		0.585786389		0.5744591		0.996196239		3.604166667		3.666666667		3.8125		3.604166667		4.229166667		2		1.875		1.770833333		1.9375		1.958333333		28.27598006		0.306190202		1.711190113		227.0665522		0.086640235		0.083255088		257.4431676		1800.513145		453	
1	3	639.3100675		0.651489306		0.563910411		0.812010296		0.995954564		0.152087441		0.457015159		0.888892379		0.818298402		0.764663992		0.748058113		0.747376195		0.751251449		0.751666323		0.749040734		0.576484884		0.57155712		0.995954564		3.5625		3.895833333		4.270833333		3.645833333		3.75		1.875		1.625		1.8125		1.770833333		1.875		25.11180154		0.248837884		1.937471856		259.7183011		0.087441403		0.061265525		287.0776779		1967.746254		425	
1	4	959.4245945		0.656663452		0.56261519		0.818630246		0.997879504		0.143627477		0.468396383		0.88487668		0.821085084		0.766364183		0.750824239		0.749716596		0.737690007		0.750330748		0.750741642		0.563591096		0.577915885		0.997879504		3.4375		4		3.770833333		4.3125		3.75		1.791666667		1.75		1.916666667		1.791666667		1.770833333		25.06824762		0.216941925		1.410109225		252.1337904		0.080114406		0.063738904		278.892828		1888.664688		428	
1	5	1130.804485		0.641565173		0.551520557		0.811766867		0.996560536		0.15669107		0.478105943		0.888348082		0.814182639		0.763570348		0.752305579		0.746611196		0.732761742		0.745951144		0.744176265		0.58567706		0.567574545		0.996560536		3.479166667		4.520833333		3.875		3.25		3.833333333		1.770833333		1.854166667		1.75		1.895833333		2		24.21172377		0.218790956		1.687451236		257.6720799		0.084860156		0.07333682		283.8633827		1951.64447		440	
1	6	1386.271731		0.608801592		0.522585247		0.783979494		0.997376335		0.160340806		0.499445964		0.880561356		0.78044371		0.720246997		0.708203938		0.716019507		0.711397826		0.714313318		0.708044384		0.585453613		0.572263528		0.997376335		4.166666667		3.5		3.5625		3.354166667		3.291666667		1.916666667		2.125		1.833333333		1.9375		1.8125		19.17245412		0.228109419		1.521973273		230.6549788		0.075046453		0.059860899		251.6373765		1840.608515		457	
1	7	1229.504548		0.639260647		0.540652702		0.801160165		0.99593008		0.156323136		0.478008347		0.897925284		0.805062618		0.747009906		0.728299755		0.734614141		0.722231206		0.724362253		0.729313886		0.585271055		0.566982161		0.99593008		3.9375		3.75		3.583333333		3.541666667		3.8125		1.791666667		1.875		1.8125		1.895833333		2.020833333		22.19161661		0.215101314		1.128970817		247.0040109		0.078185649		0.051855544		270.5915552		1897.791731		446	
1	8	915.7572604		0.647352566		0.564734736		0.825069658		0.998064348		0.159638272		0.448437804		0.877688001		0.814640435		0.763003452		0.771465331		0.748835272		0.754304655		0.763589462		0.764039568		0.574112883		0.583589737		0.998064348		3.666666667		4.104166667		3.770833333		3.270833333		4.208333333		2		1.583333333		1.854166667		1.833333333		1.708333333		23.02857104		0.248821983		1.816978246		249.2124108		0.086013019		0.054404618		274.3611867		1880.467706		426	
1	9	1210.519284		0.62230187		0.535841584		0.793703956		0.996330414		0.152241397		0.469247216		0.852055584		0.789999701		0.723607012		0.716583991		0.724897997		0.714386502		0.725119326		0.717882169		0.574336602		0.574235209		0.996330414		3.520833333		3.791666667		3.5		3.4375		3.791666667		1.5625		1.979166667		1.75		1.895833333		1.875		20.14503315		0.245045888		1.668543983		234.6665792		0.077004437		0.050824134		256.7760263		1827.554531		430	
1	10	1130.918941		0.631694983		0.527527065		0.79569906		0.996960745		0.152631287		0.490350894		0.890876763		0.80620542		0.744456742		0.721132558		0.71130764		0.711143601		0.714003012		0.710390076		0.563778933		0.585813099		0.996960745		3.291666667		3.354166667		3.833333333		3.9375		4.020833333		1.875		1.833333333		1.791666667		2.0625		1.875		21.51879963		0.181947637		1.130734469		214.8879926		0.06926637		0.059821399		237.7792957		1708.682997		448	
1	11	1143.499613		0.671759914		0.572508348		0.830410967		0.997122718		0.161245652		0.470443049		0.904550872		0.845360632		0.796693345		0.762163822		0.770257666		0.762894995		0.76790236		0.754524634		0.575215695		0.583152675		0.997122718		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		1.8125		1.729166667		1.875		1.833333333		2.041666667		27.89584741		0.235446099		1.366215557		262.2394416		0.091269036		0.074965582		291.8119162		1967.572152		441	
1	12	1141.64518		0.643220862		0.551007466		0.832721596		0.995389272		0.158357891		0.462083333		0.878916253		0.803302655		0.743236216		0.762534182		0.758991238		0.743212799		0.763543565		0.767717089		0.574242721		0.579504443		0.995389272		3.75		3.583333333		3.354166667		3.854166667		4.020833333		1.625		1.75		1.791666667		1.8125		1.895833333		22.20926177		0.249595288		1.882232898		245.2270156		0.088238352		0.054278985		269.6223846		1858.237526		421	
1	13	932.2673724		0.657523203		0.556295481		0.821433555		0.99639235		0.153566776		0.492991389		0.896819634		0.843763175		0.770843254		0.752535823		0.752313178		0.737283629		0.749154518		0.743830486		0.586122764		0.563836363		0.99639235		3.770833333		3.958333333		4.125		3.458333333		4		1.916666667		2.020833333		1.895833333		1.979166667		1.770833333		24.95628543		0.22623957		1.513649172		244.277527		0.078443928		0.07072702		271.0444282		1874.564693		455	
1	14	1079.299435		0.62400419		0.536408053		0.790228442		0.99603642		0.16347506		0.4660587		0.876969484		0.789767105		0.732830668		0.720454794		0.72922042		0.726004252		0.720653126		0.723125768		0.57120605		0.58830543		0.99603642		3.833333333		3.9375		3.479166667		3.416666667		3.6875		1.875		1.708333333		1.8125		2.083333333		1.770833333		23.95167684		0.253460611		1.169926897		242.7064516		0.080084089		0.066835491		268.1483514		1914.096299		439	
1	15	1197.007178		0.611938773		0.538828208		0.809064571		0.996563206		0.160426898		0.471478946		0.875470378		0.807305857		0.734963629		0.725662831		0.740017438		0.740637199		0.735327765		0.741832914		0.595371084		0.56161902		0.996563206		4.1875		3.8125		3.3125		3.520833333		3.479166667		1.9375		1.75		1.541666667		1.9375		1.833333333		22.04027687		0.289006688		1.871704417		255.5454744		0.076554727		0.060610579		279.8070729		1978.355195		427	
1	16	1017.21144		0.657191187		0.54282053		0.806317923		0.997419579		0.154443419		0.45578843		0.88908063		0.815979254		0.744907372		0.737460518		0.728983252		0.738057856		0.727983051		0.739802084		0.585828117		0.56603488		0.997419579		4.0625		3.4375		4.291666667		3.5		3.479166667		1.645833333		1.625		1.791666667		2.041666667		1.75		24.68027163		0.211795254		1.486798029		269.4969272		0.068619123		0.051925697		295.9277178		2052.889095		420	
