Scenario	Replication	[CycleTime].SampleAverage/1[min]		[LastPatientMonday].SampleAverage		Overtime		[LastPatientTuesday].SampleAverage		Overtime		[LastPatientWednesday].SampleAverage		Overtime		[LastPatientThursday].SampleAverage		Overtime		[LastPatientFriday].SampleAverage		Overtime		[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[DevelopX-Ray].WorkingTime/[DevelopX-Ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[Orderly4].WorkingTime/[Orderly4].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayTech4].WorkingTime/[X-RayTech4].TotalTime		[X-RayTech5].WorkingTime/[X-RayTech5].TotalTime		[X-RayTech6].WorkingTime/[X-RayTech6].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[X-RayRoom3].WorkingTime/[X-RayRoom3].TotalTime		[X-RayRoom4].WorkingTime/[X-RayRoom4].TotalTime		[DRTech1].WorkingTime/[DRTech1].TotalTime		[DRTech2].WorkingTime/[DRTech2].TotalTime		[DRTech3].WorkingTime/[DRTech3].TotalTime		[DRTech4].WorkingTime/[DRTech4].TotalTime		[DRTech5].WorkingTime/[DRTech5].TotalTime		[DarkRoom1].WorkingTime/[DarkRoom1].TotalTime		[DarkRoom2].WorkingTime/[DarkRoom2].TotalTime		[DarkRoom3].WorkingTime/[DarkRoom3].TotalTime		[DarkRoom4].WorkingTime/[DarkRoom4].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[WaitingDevelop].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[WaitingDevelop].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	1	138.2624664		891.510157		171.510157		2351.865953		191.8659527		3884.109252		284.1092518		5208.965659		168.9656593		6636.430421		156.4304205		0.517344108		0.433012585		0.579092792		0.592968053		0.314401679		0.548178291		0.609661976		0.586481056		0.586720597		0.564858087		0.467264473		0.475172161		0.465432655		0.468109219		0.459631283		0.463604012		0.460298378		0.459536603		0.462424807		0.458852744		0.499558603		0.50688135		0.501202961		0.494428483		0.509907205		0.545319561		0.541040534		0.544027238		0.541420421		3.875		3.916666667		4.354166667		3.916666667		3.895833333		3.875		3.916666667		4.354166667		3.916666667		3.895833333		5.061180845		0.051399174		0.431831923		2.887998913		0.161802236		2.561420325		10.99383118		77.4554246		953	
1	2	129.5842415		800.4551748		80.45517478		2270.036205		110.0362046		3727.190373		127.190373		5157.285749		117.2857491		6697.157722		217.1577217		0.487546132		0.412785119		0.549077986		0.555874043		0.297582272		0.520037073		0.577785321		0.553391011		0.548637555		0.530582911		0.445901687		0.441539971		0.44722786		0.440201191		0.449060155		0.441096453		0.435530168		0.44103875		0.435765725		0.436121511		0.470795887		0.464586868		0.461116679		0.468012947		0.472553428		0.501680223		0.50527054		0.503884976		0.499915775		3.604166667		3.666666667		3.8125		3.604166667		4.229166667		3.604166667		3.666666667		3.8125		3.604166667		4.229166667		6.010100567		0.050318092		0.282030766		1.454807273		0.144805409		1.564249542		9.36150624		72.04704946		903	
1	3	132.3453503		844.2471316		124.2471316		2367.743997		207.7439969		3934.682152		334.6821515		5141.930452		101.9304521		6629.357772		149.3577716		0.482399694		0.402996066		0.564121756		0.58747888		0.300201673		0.527048975		0.594713939		0.574439158		0.552693059		0.535024114		0.447738758		0.444180438		0.447949348		0.450539871		0.448159853		0.444328263		0.442251345		0.445627664		0.431193609		0.444524258		0.487781892		0.494951429		0.492034145		0.485474544		0.485550334		0.530216245		0.530113183		0.528455909		0.531598611		3.5625		3.895833333		4.270833333		3.645833333		3.75		3.5625		3.895833333		4.270833333		3.645833333		3.75		5.363266822		0.055178937		0.320975612		2.428077593		0.13710467		1.594636797		9.762135761		72.03714891		913	
1	4	127.6934588		847.1269691		127.1269691		2326.351249		166.3512493		3757.545893		157.5458927		5335.185181		295.1851805		6586.664097		106.6640973		0.487462722		0.41228546		0.561380812		0.582068617		0.296257045		0.528354311		0.588414417		0.576079254		0.543070259		0.533677447		0.444760418		0.436098899		0.448312949		0.444190612		0.442319786		0.436922929		0.434394477		0.428504047		0.434210006		0.442993009		0.476838502		0.483232511		0.492341542		0.47624856		0.481213398		0.52401101		0.520819022		0.519716761		0.526354641		3.4375		4		3.770833333		4.3125		3.75		3.4375		4		3.770833333		4.3125		3.75		4.97267483		0.050477316		0.332802187		2.138736919		0.144068626		1.861813071		9.356504322		69.16835569		920	
1	5	136.0056042		807.3245935		87.32459345		2435.199042		275.1990423		3778.328079		178.3280787		5108.282505		68.28250485		6638.893387		158.8933866		0.498947042		0.405131888		0.562337201		0.575788371		0.293520842		0.523208001		0.576410469		0.557496146		0.548617271		0.539168615		0.440424702		0.454586356		0.440688279		0.437167276		0.438890859		0.435771655		0.438082967		0.439732994		0.432822249		0.428113153		0.473466972		0.478077545		0.482318939		0.477906408		0.472178791		0.518507292		0.516790338		0.509240158		0.515493142		3.479166667		4.520833333		3.875		3.25		3.833333333		3.479166667		4.520833333		3.875		3.25		3.833333333		5.305555997		0.043289154		0.212149569		1.92752703		0.137892123		2.696610434		10.18513218		77.44943361		905	
1	6	114.0555518		884.5423146		164.5423146		2274.185057		114.1850571		3764.767741		164.7677411		5134.722492		94.7224916		6582.619856		102.6198564		0.47341334		0.388231851		0.53522056		0.548574735		0.270905393		0.496977321		0.549635397		0.529064519		0.512933127		0.500416506		0.424987019		0.415455253		0.412358972		0.414825266		0.416527117		0.415897409		0.411181815		0.414423237		0.414151001		0.408739826		0.441088792		0.442393641		0.443180292		0.448139784		0.44539145		0.478590128		0.483375865		0.480036787		0.479558784		4.166666667		3.5		3.5625		3.354166667		3.291666667		4.166666667		3.5		3.5625		3.354166667		3.291666667		3.26350139		0.03401517		0.228655009		1.152483822		0.109393075		2.351156144		7.029811534		57.00321875		853	
1	7	119.6721043		876.4033081		156.4033081		2292.430241		132.4302405		3720.28652		120.2865203		5132.835072		92.83507182		6680.413887		200.4138874		0.483643095		0.397010125		0.54270246		0.556181945		0.283310016		0.508587701		0.569836063		0.554961981		0.554074907		0.523547182		0.426551835		0.427803289		0.430233002		0.423754323		0.431045179		0.428605173		0.421530783		0.421229389		0.427780926		0.416384477		0.460420801		0.470109331		0.469651352		0.460943576		0.460302498		0.498310251		0.501835784		0.505268759		0.510091365		3.9375		3.75		3.583333333		3.541666667		3.8125		3.9375		3.75		3.583333333		3.541666667		3.8125		3.098182145		0.043575414		0.226268174		2.57566747		0.125798802		2.085531597		8.029224798		59.99043026		889	
1	8	117.1850225		925.2375509		205.2375509		2393.30635		233.30635		3737.850178		137.8501783		5117.575693		77.57569348		6744.877819		264.8778187		0.500287884		0.415577282		0.578483729		0.595852181		0.303284359		0.528008502		0.591965085		0.566471257		0.549957564		0.52749698		0.451511379		0.454532248		0.454182953		0.453820259		0.453072303		0.455836382		0.445489074		0.447409672		0.454023621		0.453721078		0.477539115		0.481416331		0.485766236		0.475442133		0.496712577		0.524057774		0.520853757		0.521835012		0.515155728		3.666666667		4.104166667		3.770833333		3.270833333		4.208333333		3.666666667		4.104166667		3.770833333		3.270833333		4.208333333		4.450388376		0.052470917		0.230040942		1.347322298		0.14591574		1.668575137		7.74879767		58.95878548		908	
1	9	109.0719779		831.9912051		111.9912051		2282.499235		122.4992351		3673.648687		73.64868678		5129.85965		89.85964988		6630.863635		150.8636347		0.476961137		0.387301561		0.527027474		0.537141356		0.268165603		0.496417555		0.541188795		0.542170104		0.526479284		0.505821945		0.415179264		0.419669521		0.407025852		0.413232368		0.408868446		0.417559756		0.411115362		0.397531986		0.406305257		0.412973902		0.439089281		0.442477168		0.438897017		0.439181241		0.440785673		0.477288982		0.476670469		0.472393085		0.481094742		3.520833333		3.791666667		3.5		3.4375		3.791666667		3.520833333		3.791666667		3.5		3.4375		3.791666667		2.825361025		0.03662252		0.197238774		1.227856542		0.101899666		2.286551734		6.573630594		52.66441147		861	
1	10	112.8772548		817.893548		97.893548		2258.502854		98.50285362		3748.973701		148.9737007		5236.752696		196.7526964		6661.842214		181.8422139		0.48860624		0.392476159		0.551066063		0.565828089		0.280438207		0.517290512		0.568661372		0.554447072		0.53087215		0.511240478		0.41803172		0.422131646		0.417916753		0.422339555		0.422511187		0.414809987		0.410170576		0.409483744		0.411624683		0.412591526		0.455170368		0.458974798		0.456028741		0.463485489		0.455186496		0.500952617		0.496605281		0.491679549		0.492297548		3.291666667		3.354166667		3.833333333		3.9375		4.020833333		3.291666667		3.354166667		3.833333333		3.9375		4.020833333		4.189085682		0.034459344		0.183994236		1.247377412		0.11233469		1.50273587		7.157652545		56.40829856		880	
1	11	130.0974558		822.4604211		102.4604211		2341.391559		181.3915595		3761.836918		161.8369177		5251.880234		211.8802337		6654.770404		174.770404		0.509440665		0.423109945		0.567442709		0.583157288		0.309720489		0.541447676		0.598458394		0.587554308		0.573451116		0.563251188		0.45468299		0.457424223		0.451690789		0.450309194		0.462011257		0.454231355		0.444471962		0.443598083		0.442171395		0.445726554		0.496177787		0.489243987		0.490104084		0.490769329		0.493568353		0.527295832		0.52879966		0.529339448		0.531690621		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		5.836624191		0.046121046		0.281899368		2.076317155		0.138908997		1.682367212		9.923328971		71.97651479		945	
1	12	124.6874681		857.1748295		137.1748295		2306.072849		146.0728495		3695.029982		95.02998162		5229.186025		189.1860252		6692.018353		212.0183526		0.477478551		0.402567517		0.559306112		0.570443527		0.303547449		0.512416784		0.571407729		0.566309284		0.547975019		0.528555161		0.451909471		0.4529114		0.461029106		0.453066592		0.448753314		0.45426037		0.456977484		0.455977262		0.456203017		0.45542683		0.489826923		0.481192919		0.481864505		0.485483311		0.493639491		0.529386163		0.526830441		0.525953032		0.527611526		3.75		3.583333333		3.354166667		3.854166667		4.020833333		3.75		3.583333333		3.354166667		3.854166667		4.020833333		2.73691809		0.064548541		0.431152706		3.379903232		0.160180394		1.710415284		8.322937853		59.53972736		886	
1	13	119.16841		836.5834041		116.5834041		2327.571606		167.5716055		3811.615793		211.6157934		5143.69624		103.6962404		6635.848403		155.8484035		0.500372754		0.413254963		0.568338832		0.570432592		0.286855634		0.517740285		0.582281245		0.568182202		0.545010804		0.541557787		0.444497269		0.442844135		0.443205204		0.440448516		0.441144315		0.443181224		0.441685927		0.433450729		0.435248194		0.433086413		0.470850188		0.480056371		0.462943252		0.460797522		0.480559349		0.507230044		0.506882182		0.513085776		0.511740131		3.770833333		3.958333333		4.125		3.458333333		4		3.770833333		3.958333333		4.125		3.458333333		4		4.544767719		0.047109494		0.248557814		1.308599877		0.114302827		2.199767362		8.348802265		62.96617226		922	
1	14	123.7344327		874.2911949		154.2911949		2325.396181		165.396181		3793.7239		193.7239002		5125.555581		85.55558058		6625.997871		145.9978715		0.467258748		0.394841307		0.546221878		0.560111931		0.299350503		0.513396272		0.572516578		0.538970702		0.545100072		0.511577943		0.436385153		0.431320813		0.435452928		0.440412399		0.428976299		0.426025216		0.424471422		0.426132477		0.423052019		0.430043835		0.486405686		0.48045426		0.483105813		0.465963807		0.475591697		0.513533352		0.51455769		0.51937901		0.517603668		3.833333333		3.9375		3.479166667		3.416666667		3.6875		3.833333333		3.9375		3.479166667		3.416666667		3.6875		3.184194685		0.049510947		0.258966079		2.584478607		0.16616023		2.142603974		8.219754292		62.15663662		876	
1	15	111.7126391		982.0332785		262.0332785		2293.547081		133.5470813		3726.512641		126.5126411		5134.755304		94.75530408		6562.583972		82.58397165		0.479234725		0.396492919		0.547459867		0.556787949		0.289618062		0.505728858		0.560585994		0.544464169		0.528447273		0.505066194		0.435150592		0.430806932		0.427968732		0.432414969		0.423260899		0.428528715		0.433663831		0.427849134		0.415357153		0.415281132		0.464478246		0.458615162		0.452627912		0.462464906		0.455412342		0.493385685		0.491447826		0.494408193		0.497107165		4.1875		3.8125		3.3125		3.520833333		3.479166667		4.1875		3.8125		3.3125		3.520833333		3.479166667		3.205473902		0.045611613		0.213422796		1.604108577		0.144089418		1.803017938		6.871634826		53.68654756		874	
